season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
U2015_P006344_BUC,U2015,P006344,"AMIS, BILL",BUC,9.0,4.0,196.6,84,31,65,1,9,19,22,15,44,59,10,3,10,6,7,16,22,106,-50,21.84,9.33,3.44,7.22,0.477,0.11,1.0,0.111,2.11,2.44,0.864,1.67,4.89,6.56,1.11,0.33,1.11,0.67,0.78,1.78,2.44,11.78,-5.56
U2008_P001337_BNE,U2008,P001337,"AMITAY, GIL",BNE,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2009_P002080_TER,U2009,P002080,"AMOROSO, VALERIO",TER,5.0,5.0,149.8,65,9,18,14,35,5,6,3,19,22,9,3,10,0,0,13,11,56,31,29.96,13.0,1.8,3.6,0.5,2.8,7.0,0.4,1.0,1.2,0.833,0.6,3.8,4.4,1.8,0.6,2.0,0.0,0.0,2.6,2.2,11.2,6.2
U2011_P003471_PAO,U2011,P003471,"AMPARAS, THOMAS",PAO,1.0,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2013_PBZO_PAI,U2013,PBZO,"ANAGONYE, ALOYSIUS",PAI,10.0,9.0,189.8,63,26,50,1,1,8,14,17,22,39,3,6,7,7,2,19,17,77,-12,18.98,6.3,2.6,5.0,0.52,0.1,0.1,1.0,0.8,1.4,0.571,1.7,2.2,3.9,0.3,0.6,0.7,0.7,0.2,1.9,1.7,7.7,-1.2
U2020_P010596_BRE,U2020,P010596,"ANCELLOTTI, ANDREA",BRE,9.0,0.0,54.2,13,5,9,1,2,0,0,3,8,11,1,1,5,0,0,12,3,7,-11,6.03,1.44,0.56,1.0,0.556,0.11,0.22,0.5,0.0,0.0,0.0,0.33,0.89,1.22,0.11,0.11,0.56,0.0,0.0,1.33,0.33,0.78,-1.22
U2013_PAKT_STR,U2013,PAKT,"ANDERSEN, DAVID",STR,3.0,1.0,49.9,16,6,12,1,6,1,1,3,8,11,5,0,5,0,0,7,9,18,-54,16.62,5.33,2.0,4.0,0.5,0.33,2.0,0.167,0.33,0.33,1.0,1.0,2.67,3.67,1.67,0.0,1.67,0.0,0.0,2.33,3.0,6.0,-18.0
U2014_PAKT_ASV,U2014,PAKT,"ANDERSEN, DAVID",ASV,8.0,6.0,188.4,92,22,54,11,25,15,17,8,38,46,6,3,15,1,3,19,23,86,10,23.55,11.5,2.75,6.75,0.407,1.38,3.12,0.44,1.88,2.12,0.882,1.0,4.75,5.75,0.75,0.38,1.88,0.12,0.38,2.38,2.88,10.75,1.25
U2010_P002988_GOE,U2010,P002988,"ANDERSON, DWAYNE",GOE,12.0,8.0,319.2,192,37,73,21,52,55,71,37,42,79,13,14,27,1,4,37,53,201,32,26.6,16.0,3.08,6.08,0.507,1.75,4.33,0.404,4.58,5.92,0.775,3.08,3.5,6.58,1.08,1.17,2.25,0.08,0.33,3.08,4.42,16.75,2.67
U2012_P002988_WUE,U2012,P002988,"ANDERSON, DWAYNE",WUE,6.0,0.0,141.3,92,23,49,12,24,10,13,20,18,38,11,9,11,3,2,17,18,100,-31,23.56,15.33,3.83,8.17,0.469,2.0,4.0,0.5,1.67,2.17,0.769,3.33,3.0,6.33,1.83,1.5,1.83,0.5,0.33,2.83,3.0,16.67,-5.17
U2011_PLPH_BUD,U2011,PLPH,"ANDERSON, JERMAINE",BUD,14.0,14.0,406.3,146,34,72,16,44,30,34,5,34,39,42,6,29,2,9,27,28,128,32,29.02,10.43,2.43,5.14,0.472,1.14,3.14,0.364,2.14,2.43,0.882,0.36,2.43,2.79,3.0,0.43,2.07,0.14,0.64,1.93,2.0,9.14,2.29
