season_player_id,season_code,player_id,player_last_name,player_first_name,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game,
E2025_P012044_RED,E2025,P012044,DOS SANTOS,YAGO,RED,1,0,12.8,9,0,3,1,3,6,6,1,1,2,2,0,4,0,1,3,4,4,-4,12.85,9,0,3,0,1,3,0.333,6,6,1,1,1,2,2,0,4,0,1,3,4,4,-4,
E2025_P014123_TEL,E2025,P014123,DOWTIN JR,JEFFREY,TEL,3,1,66.4,37,5,12,8,13,3,5,1,3,4,15,2,4,1,1,6,4,38,0,22.12,12.33,1.67,4,0.417,2.67,4.33,0.615,1,1.67,0.6,0.33,1,1.33,5,0.67,1.33,0.33,0.33,2,1.33,12.67,0,
E2025_P012742_IST,E2025,P012742,DOZIER,PJ,IST,1,1,7.8,4,1,3,0,1,2,2,1,1,2,1,0,1,0,0,0,1,4,-4,7.8,4,1,3,0.333,0,1,0,2,2,1,1,1,2,1,0,1,0,0,0,1,4,-4,
E2025_P003048_MIL,E2025,P003048,DUNSTON,BRYANT,MIL,1,0,16.3,0,0,0,0,0,0,0,1,4,5,0,0,0,1,0,4,1,3,14,16.32,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,1,0,4,1,3,14,
E2025_P011987_VIR,E2025,P011987,EDWARDS,CARSEN,VIR,3,3,66.7,40,6,18,7,18,7,8,0,6,6,4,3,8,1,4,3,10,25,-38,22.24,13.33,2,6,0.333,2.33,6,0.389,2.33,2.67,0.875,0,2,2,1.33,1,2.67,0.33,1.33,1,3.33,8.33,-12.67,
E2025_P012593_MIL,E2025,P012593,ELLIS,QUINN,MIL,3,0,49.2,6,2,7,0,2,2,3,1,3,4,5,2,6,1,0,6,7,5,-8,16.38,2,0.67,2.33,0.286,0,0.67,0,0.67,1,0.667,0.33,1,1.33,1.67,0.67,2,0.33,0,2,2.33,1.67,-2.67,
E2025_P008858_HTA,E2025,P008858,ENNIS,TYLER,HTA,1,0,4.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-2,-8,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,-8,
E2025_P006568_BAR,E2025,P006568,FALL,YOUSSOUPHA,BAR,1,0,9,6,2,3,0,0,2,2,1,0,1,0,0,0,0,0,0,1,7,-5,8.98,6,2,3,0.667,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,1,7,-5,
E2025_P012403_PRS,E2025,P012403,FAYE,MOUHAMED,PRS,3,3,38,10,5,8,0,0,0,0,5,7,12,0,2,4,2,1,8,2,12,6,12.65,3.33,1.67,2.67,0.625,0,0,0,0,0,0,1.67,2.33,4,0,0.67,1.33,0.67,0.33,2.67,0.67,4,2,
E2025_P011247_MAD,E2025,P011247,FELIZ,ANDRES,MAD,3,3,58.4,19,7,13,1,5,2,2,4,2,6,7,3,6,0,1,7,3,14,-1,19.48,6.33,2.33,4.33,0.538,0.33,1.67,0.2,0.67,0.67,1,1.33,0.67,2,2.33,1,2,0,0.33,2.33,1,4.67,-0.33,
E2025_P013667_MAD,E2025,P013667,FERNANDO,BRUNO,MAD,3,0,39.1,17,8,13,0,0,1,1,3,11,14,3,1,4,1,0,7,4,24,3,13.03,5.67,2.67,4.33,0.615,0,0,0,0.33,0.33,1,1,3.67,4.67,1,0.33,1.33,0.33,0,2.33,1.33,8,1,
E2025_P013367_BAS,E2025,P013367,FORREST,TRENT,BAS,3,3,86.8,40,11,23,2,10,12,13,5,11,16,22,2,4,1,3,7,12,58,4,28.92,13.33,3.67,7.67,0.478,0.67,3.33,0.2,4,4.33,0.923,1.67,3.67,5.33,7.33,0.67,1.33,0.33,1,2.33,4,19.33,1.33,
E2025_P013380_OLY,E2025,P013380,FOURNIER,EVAN,OLY,2,2,51.7,24,5,10,2,11,8,9,0,4,4,7,2,6,0,1,5,7,17,6,25.84,12,2.5,5,0.5,1,5.5,0.182,4,4.5,0.889,0,2,2,3.5,1,3,0,0.5,2.5,3.5,8.5,3,
E2025_P007975_ZAL,E2025,P007975,FRANCISCO,SYLVAIN,ZAL,3,3,73,46,7,16,9,15,5,10,1,7,8,20,1,5,5,2,4,10,59,35,24.34,15.33,2.33,5.33,0.438,3,5,0.6,1.67,3.33,0.5,0.33,2.33,2.67,6.67,0.33,1.67,1.67,0.67,1.33,3.33,19.67,11.67,
E2025_P014026_BAS,E2025,P014026,FRISCH,CLEMENT,BAS,2,0,26.7,11,1,2,3,7,0,0,1,2,3,1,0,0,1,0,3,1,9,-2,13.37,5.5,0.5,1,0.5,1.5,3.5,0.429,0,0,0,0.5,1,1.5,0.5,0,0,0.5,0,1.5,0.5,4.5,-1,
