player_first_name,player_last_name,team_id,FinalWeighted_JEI
CARLOS,SUAREZ,MAL,100.81
CHIMEZIE,METU,BAR,100.74
DEVIN,BOOKER,ULK,100.66
RAY,MCCALLUM,MAL,100.64
OSCAR,DA SILVA,BER,100.64
MATTEO,SPAGNOLO,BER,100.49
ESTEBAN,BATISTA,TEL,100.48
MATT,THOMAS,BER,100.47
ZORAN,PLANINIC,CSK,100.35
WILL,THOMAS,MCO,100.34
DARRUN,HILLIARD,CSK,100.26
MILKO,BJELICA,RED,100.24
BENJAMIN,EZE,SIE,100.23
KYLE,HINES,MIL,100.14
PETTERI,KOPONEN,BAR,100.1
JAN,VESELY,PAR,100.09
LOUIS,LABEYRIE,PAM,100.07
ADRIEN,MOERMAN,DAR,100
JAMES,ANDERSON,DAR,99.98
JANIS,TIMMA,KHI,99.96
ALEKSA,AVRAMOVIC,PAR,99.96
DAVID,ANDERSEN,BAR,99.95
RAKIM,SANDERS,MIL,99.79
KEVARRIUS,HAYES,ZAL,99.78
JAMON-ALFRED,LUCAS,DAR,99.77
JOHN,BROWN,MCO,99.64
TYLER,DORSEY,OLY,99.62
CHARLES,JENKINS,RED,99.47
ROKO-LENI,UKIC,PAN,99.41
ALAIN,KOFFI,LEM,99.28
ALEX,MUMBRU,MAD,99.28
YANNI,WETZELL,BER,99.26
JORDAN,MICKEY,VIR,99.24
TIMOTHE,LUWAWU-CABARROT,BAS,99.19
NICOLAS,LAPROVITTOLA,MAD,99.17
MARCUS,WILLIAMS,MAL,99.12
JAMES,FELDEINE,PAN,99.09
MILAN,MACVAN,MIL,99.09
NEMANJA,BJELICA,BAS,99.04
MINDAUGAS,KUZMINSKAS,MIL,99.02
VLADO,ILIEVSKI,LJU,98.99
BONIFACE,NDONG,BAR,98.89
ACHILLE,POLONARA,ULK,98.86
DAMIEN,INGLIS,PAM,98.86
ANTE,ZIZIC,IST,98.85
MATTHEW,JANNING,BAS,98.72
PREDRAG,SUPUT,BAM,98.72
YOVEL,ZOOSMAN,BER,98.64
SANI,BECIROVIC,ROM,98.62
MARCUS,BROWN,ZAL,98.57
JANIS,STRELNIEKS,OLY,98.52
MARIUS,PETRAVICIUS,LIE,98.36
RASHO,NESTEROVIC,OLY,98.3
KIM,TILLIE,BAS,98.29
MATHIAS,LESSORT,RED,98.28
IMMANUEL,MCELROY,BER,98.27
WILLIAM,HOWARD,ASV,98.24
ANDREW,GOUDELOCK,MIL,98.22
JAMEL,MCLEAN,OLY,98.1
MILENKO,TEPIC,PAR,98.09
DUSKO,SAVANOVIC,PAM,98.04
MARKO,TOMAS,CIB,98.03
LAWRENCE,ROBERTS,PAR,98
NIELS,GIFFEY,BER,97.99
DERRICK,WILLIAMS,PAM,97.93
TAMIR,BLATT,BER,97.79
NIKOLAOS,ROGKAVOPOULOS,BAS,97.74
IOANNIS,PAPAPETROU,PAN,97.74
STERLING,BROWN,BER,97.73
HENRY,DOMERCANT,SIE,97.64
CEDI,OSMAN,PAN,97.63
ROKAS,GIEDRAITIS,RED,97.61
CURTIS,JERRELLS,BES,97.6
ALESSANDRO,PAJOLA,VIR,97.5
ISAIAH,CANAAN,OLY,97.47
ZORAN,DRAGIC,MAL,97.44
ERICK,GREEN,OLY,97.4
TORRIAN,WALDEN,RED,97.37
KSISTOF,LAVRINOVIC,ZAL,97.29
EARL,CLARK,BUD,97.22
JOE,INGLES,TEL,97.18
STRATOS,PERPEROGLOU,BAR,97.17
IAN,VOUGIOUKAS,ZAL,97.16
CURTIS,JERRELLS,MIL,97.15
LUKA,BABIC,CED,97.11
QUINO,COLOM,PAM,97.11
MANUCHAR,MARKOISHVILI,CTU,96.8
OTHELLO,HUNTER,MAD,96.77
PARIS,LEE,MCO,96.68
KOSTAS,PAPANIKOLAOU,BAR,96.62
ANDRE,HUTSON,IST,96.62
DAVID,ANDERSEN,SIE,96.52
ROKO-LENI,UKIC,ROM,96.5
ANGELO,CALOIARO,TEL,96.5
LORENZO,BROWN,PAN,96.42
YANN STEPHANE,LASME,PAR,96.41
